Тип ссылки,Источник,Назначение,Исходное назначение,Анкор,Alt текст,Follow,Позиция ссылки,Категория позиции,Путь ссылки,Происхождение,Статус код
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/jeleznodorojnaya-dostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/dokumenty/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/dokumenty/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/proverka-postavshhika-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/proverka-postavshhika-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/oborudovanie-v-lizing-po-lgotnoj-stavke/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/oborudovanie-v-lizing-po-lgotnoj-stavke/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/sea-shipping-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/sea-shipping-china/,https://longwang.ru/,https://longwang.ru/,LongWang,,true,Content,Content,//body/div/main/section[@class='faq-text-block']/div/p[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/sea-shipping-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/platezhi-v-kitai/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/platezhi-v-kitai/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/steel-pipes-oil-mashinery/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/steel-pipes-oil-mashinery/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/ved-s-kitaem/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/aviadostavka-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/podbor-i-proverka-postavschika-gruzovykh-avtomobiley/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/podbor-i-proverka-postavschika-gruzovykh-avtomobiley/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/import-fittings-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/import-fittings-china/,https://longwang.ru/,https://longwang.ru/,Специалисты компании Long Wang,,true,Content,Content,//body/div/main/div[@class='projects-page__container']/div/div[1]/div/p[5]/a,HTML,200
Hyperlink,https://longwang.ru/projects/import-fittings-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/kompressornoe-oborudovanie-v-kratchajshie-sroki/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/kompressornoe-oborudovanie-v-kratchajshie-sroki/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/tovary-optom-dlia-marketpleisa/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/tovary-optom-dlia-marketpleisa/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/akkreditiv-po-dogovoru-postavki/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/akkreditiv-po-dogovoru-postavki/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/o-nas/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/o-nas/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,https://longwang.ru/,https://longwang.ru/,LongWang,,true,Content,Content,//body/div/main/section[@class='faq-text-block']/div/p[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/dostavka-is-kitaya/freight-road-transportation/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/predstavitel-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/equipment-from-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/equipment-from-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/finansirovanie-importa-iz-kitaia/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/autsorsing-ved/finansirovanie-importa-iz-kitaia/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/tranzitnyj-eksport-dlya-slozhnyh-setevyh-i-servernyh-reshenij/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/tranzitnyj-eksport-dlya-slozhnyh-setevyh-i-servernyh-reshenij/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/projects/effektivnye-peregovory-i-poisk-postavshhika-promyshlennogo-oborudovaniya-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/projects/effektivnye-peregovory-i-poisk-postavshhika-promyshlennogo-oborudovaniya-v-kitae/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/equipment-from-china/thermo-equipment-china/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/tovary-iz-kitaya-dlya-marketplejsov/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/tovary-iz-kitaya-dlya-marketplejsov/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/how-much-shipping-cost/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/how-much-shipping-cost/,https://longwang.ru/,https://longwang.ru/,Компания LongWang,,true,Content,Content,//body/div/main/div/div/p[16]/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/how-much-shipping-cost/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/konsolidacziya-sbornyh-gruzov-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/useful-articles/konsolidacziya-sbornyh-gruzov-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/endresshauser-supply-russia/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/endresshauser-supply-russia/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/autonics-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/omron-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/international/novyj-hab-dlya-tovarov-iz-kitaya/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/brevini-motion-systems-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/brevini-motion-systems-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/kubler-equipment/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/kubler-equipment/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/general-electric-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/abb-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/atlas-copco-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/atlas-copco-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/megger-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/megger-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-masimo-products/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-masimo-products/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/bitzer-compressors-parts/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/bitzer-compressors-parts/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-ifm-electronic/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/supply-ifm-electronic/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/telco-product-supply/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/telco-product-supply/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/mattei-rotors-compressors/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/mattei-rotors-compressors/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/allen-bradley-product-supplies/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/caterpillar-spare-parts/,https://longwang.ru/,https://longwang.ru/,,Фирменный логотип компании longwang,true,Header,Header,//body/div/header/div/div/a,HTML,200
Hyperlink,https://longwang.ru/supplies-services-china/parallelnyj-import-is-kitaya/brands/caterpillar-spare-parts/,https://longwang.ru/,https://longwang.ru/,,Фирменная эмблема компании   longwang,true,Footer,Footer,//body/footer/div/div[1]/a,HTML,200
