"Status","FullName","Directory","Name","Extension","OldLength","NewLength","OldLastWriteTime","NewLastWriteTime"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations","7e4dca80246863e3.automaticDestinations-ms",".automaticDestinations-ms","18432","18432","2026-04-11 12:09:16","2026-04-12 12:51:10"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\b8ab77100df80ab2.automaticDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations","b8ab77100df80ab2.automaticDestinations-ms",".automaticDestinations-ms","3459584","3459584","2026-04-12 11:44:40","2026-04-12 13:09:23"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations","f01b4d95cf55d32a.automaticDestinations-ms",".automaticDestinations-ms","464896","464896","2026-04-12 11:51:17","2026-04-12 13:36:27"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\34da194ed8dd9a8b.customDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations","34da194ed8dd9a8b.customDestinations-ms",".customDestinations-ms","4170","4494","2026-04-10 15:38:28","2026-04-12 13:40:58"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\6f42eeda322e4867.customDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations","6f42eeda322e4867.customDestinations-ms",".customDestinations-ms","4170","4494","2026-04-10 15:38:28","2026-04-12 13:40:58"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\b8ab77100df80ab2.customDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations","b8ab77100df80ab2.customDestinations-ms",".customDestinations-ms","12213","11244","2026-04-12 11:44:55","2026-04-12 13:09:36"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\ccba5a5986c77e43.customDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations","ccba5a5986c77e43.customDestinations-ms",".customDestinations-ms","19902","11820","2026-04-11 12:09:04","2026-04-12 13:36:57"
"Changed","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\f18460fded109990.customDestinations-ms","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations","f18460fded109990.customDestinations-ms",".customDestinations-ms","24","24","2026-04-12 10:11:46","2026-04-12 13:53:18"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\config.json","C:\Users\Artem\AppData\Roaming\Softphone","config.json",".json","368","368","2026-04-10 17:25:56","2026-04-12 13:54:47"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Preferences","C:\Users\Artem\AppData\Roaming\Softphone","Preferences","","129","129","2026-04-10 14:20:05","2026-04-12 13:54:51"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\File System\Origins\LOG","C:\Users\Artem\AppData\Roaming\Softphone\File System\Origins","LOG","","288","0","2026-04-10 14:20:01","2026-04-12 13:54:48"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\File System\Origins\LOG.old","C:\Users\Artem\AppData\Roaming\Softphone\File System\Origins","LOG.old",".old","288","288","2026-04-09 12:34:59","2026-04-10 14:20:01"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Local Storage\leveldb\LOG","C:\Users\Artem\AppData\Roaming\Softphone\Local Storage\leveldb","LOG","","292","0","2026-04-10 14:19:53","2026-04-12 13:54:39"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Local Storage\leveldb\LOG.old","C:\Users\Artem\AppData\Roaming\Softphone\Local Storage\leveldb","LOG.old",".old","292","292","2026-04-09 12:34:50","2026-04-10 14:19:53"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Network\Cookies","C:\Users\Artem\AppData\Roaming\Softphone\Network","Cookies","","32768","32768","2026-04-10 16:26:54","2026-04-12 13:55:11"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Network\Cookies-journal","C:\Users\Artem\AppData\Roaming\Softphone\Network","Cookies-journal","","0","0","2026-04-10 16:26:54","2026-04-12 13:55:11"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Network\Network Persistent State","C:\Users\Artem\AppData\Roaming\Softphone\Network","Network Persistent State","","1118","1117","2026-04-10 17:25:56","2026-04-12 13:55:50"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Network\TransportSecurity","C:\Users\Artem\AppData\Roaming\Softphone\Network","TransportSecurity","","2202","2204","2026-04-10 16:26:34","2026-04-12 13:55:13"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Session Storage\LOG","C:\Users\Artem\AppData\Roaming\Softphone\Session Storage","LOG","","280","0","2026-04-10 14:19:55","2026-04-12 13:54:41"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\Session Storage\LOG.old","C:\Users\Artem\AppData\Roaming\Softphone\Session Storage","LOG.old",".old","280","280","2026-04-09 12:34:53","2026-04-10 14:19:55"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\WebStorage\QuotaManager","C:\Users\Artem\AppData\Roaming\Softphone\WebStorage","QuotaManager","","45056","45056","2026-04-10 14:20:31","2026-04-12 13:55:18"
"Changed","C:\Users\Artem\AppData\Roaming\Softphone\WebStorage\QuotaManager-journal","C:\Users\Artem\AppData\Roaming\Softphone\WebStorage","QuotaManager-journal","","0","0","2026-04-10 14:20:31","2026-04-12 13:55:18"
"Changed","C:\Users\Artem\AppData\Roaming\Telegram Desktop\log.txt","C:\Users\Artem\AppData\Roaming\Telegram Desktop","log.txt",".txt","1268","15549","2026-04-12 10:07:16","2026-04-12 13:29:00"
"Changed","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\A7FDF864FBC10B77\configs","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\A7FDF864FBC10B77","configs","","1932","1932","2026-04-12 12:13:10","2026-04-12 13:11:19"
"Changed","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\D877F783D5D3EF8C\configs","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\D877F783D5D3EF8C","configs","","1964","1964","2026-04-12 12:06:15","2026-04-12 12:58:53"
"Changed","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\user_data#2\cache\0\binlog","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\user_data#2\cache\0","binlog","","48868","50548","2026-04-11 23:48:29","2026-04-12 13:35:14"
"Changed","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\user_data\cache\0\binlog","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\user_data\cache\0","binlog","","117652","124324","2026-04-11 23:16:33","2026-04-12 13:49:24"
"Changed","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\user_data\media_cache\0\binlog","C:\Users\Artem\AppData\Roaming\Telegram Desktop\tdata\user_data\media_cache\0","binlog","","9668","9876","2026-04-12 00:08:15","2026-04-12 11:36:32"
"Changed","C:\Users\Artem\Desktop\Soft\FreeFileSync.lnk","C:\Users\Artem\Desktop\Soft","FreeFileSync.lnk",".lnk","849","849","2026-04-12 12:13:59","2026-04-12 13:57:33"
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\1C Предприятие.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar","1C Предприятие.lnk",".lnk","2138","","2026-02-15 23:21:46",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\WeChat (2).lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar","WeChat (2).lnk",".lnk","1176","","2025-10-02 18:24:48",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent\Excel.LNK","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent","Excel.LNK",".LNK","880","","2026-04-10 15:48:18",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent\Промт переписывания Chat GPT v5.0.LNK","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent","Промт переписывания Chat GPT v5.0.LNK",".LNK","1265","","2026-04-11 09:49:53",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent\Промт переписывания статей v.5.0.LNK","C:\Users\Artem\AppData\Roaming\Microsoft\Office\Recent","Промт переписывания статей v.5.0.LNK",".LNK","1260","","2026-04-11 09:49:54",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\15618259_datasheet_加水印.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","15618259_datasheet_加水印.lnk",".lnk","855","","2026-04-08 09:38:18",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\17-04__Поставка автомата для мерной резки трубки LC160SL__ВОМЗ__1 798 371.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","17-04__Поставка автомата для мерной резки трубки LC160SL__ВОМЗ__1 798 371.lnk",".lnk","1237","","2026-04-09 21:11:30",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\17-04__Поставка оборудования и комплектующих для видеонаблюдения__ИСТОК__1 918 853.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","17-04__Поставка оборудования и комплектующих для видеонаблюдения__ИСТОК__1 918 853.lnk",".lnk","1200","","2026-04-09 21:01:33",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\17-04__Сервер__НОВГУ__860 000.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","17-04__Сервер__НОВГУ__860 000.lnk",".lnk","929","","2026-04-09 21:16:23",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\2. Приложение 1, Проект договора.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","2. Приложение 1, Проект договора.lnk",".lnk","1870","","2026-04-09 22:02:27",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Grundfoss Siemens.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Grundfoss Siemens.lnk",".lnk","663","","2026-04-09 09:27:13",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Image_20260408101005_86_477.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Image_20260408101005_86_477.lnk",".lnk","742","","2026-04-08 11:47:52",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Schneider Electric.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Schneider Electric.lnk",".lnk","688","","2026-04-09 09:29:14",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Сведения о лоте(41).lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Сведения о лоте(41).lnk",".lnk","766","","2026-04-09 12:00:37",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Счет № 26054920 от 30.03.2026; № КТК СБОРНЫЙ.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Счет № 26054920 от 30.03.2026; № КТК СБОРНЫЙ.lnk",".lnk","893","","2026-04-08 09:38:23",""
"Deleted","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent\Шильд вентилятора конденсатора.lnk","C:\Users\Artem\AppData\Roaming\Microsoft\Windows\Recent","Шильд вентилятора конденсатора.lnk",".lnk","662","","2026-04-08 11:43:10",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_0000ff","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_0000ff","","371017","","2026-04-03 09:58:39",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000126","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000126","","64320","","2026-04-07 11:10:15",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000136","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000136","","23748","","2026-04-09 12:34:58",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00013a","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00013a","","128217","","2026-04-09 12:34:58",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00013b","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00013b","","38005","","2026-04-09 12:34:58",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000141","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000141","","118271","","2026-04-10 14:19:54",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000144","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000144","","32799","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000145","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000145","","21301","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000146","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000146","","50254","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000147","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000147","","20159","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000148","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000148","","23978","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000149","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000149","","18644","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00014a","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00014a","","49214","","2026-04-10 14:19:55",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00014b","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00014b","","158545","","2026-04-10 14:20:00",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00014c","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00014c","","114990","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00014d","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00014d","","38186","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00014e","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00014e","","17299","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_00014f","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_00014f","","21294","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000150","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000150","","35059","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000151","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000151","","18288","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000152","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000152","","33724","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000153","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000153","","52426","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000154","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000154","","30052","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000156","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000156","","140625","","2026-04-10 14:20:01",""
"Deleted","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data\f_000157","C:\Users\Artem\AppData\Roaming\Softphone\Cache\Cache_Data","f_000157","","42702","","2026-04-10 14:20:01",""
